,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,5,2002-05-24,CBOT Soybean Oil,BO,grain,Long,37.040000915527344,2,2148.0,179,5.98,1,2002-09-16,38.51000213623047,2.0,1764.0,147.0,115.0,stop,2002-09-16,1764.0,147,115.0,WIN,38.51000213623047,38.51000213623047,0.0,0,0,0.0,False
1,22,2002-09-17,CBOT Soybean Oil,BO,grain,Long,38.71000671386719,2,540.0,45,5.98,1,2002-09-19,38.26000213623047,2.0,-540.0,-45.0,2.0,stop,2002-09-19,-540.0,-45,2.0,LOSE,38.26000213623047,38.26000213623047,0.0,0,0,-0.0,False
2,23,2002-09-20,CBOT Soybean Oil,BO,grain,Long,38.24000366210937,2,132.0,11,5.98,1,2002-09-20,38.1300048828125,2.0,-132.0,-11.0,0.0,stop,2002-09-20,-132.0,-11,0.0,LOSE,38.1300048828125,38.1300048828125,0.0,0,0,-0.0,False
3,24,2002-09-23,CBOT Soybean Oil,BO,grain,Long,38.31000518798828,2,228.0,19,5.98,1,2002-09-23,38.12000274658203,2.0,-228.0,-19.0,0.0,stop,2002-09-23,-228.0,-19,0.0,LOSE,38.12000274658203,38.12000274658203,0.0,0,0,-0.0,False
4,25,2002-09-24,CBOT Soybean Oil,BO,grain,Long,38.320008544921876,2,240.0,20,5.98,1,2002-10-02,38.12000274658203,2.0,-240.0,-20.0,8.0,stop,2002-10-02,-240.0,-20,8.0,LOSE,38.12000274658203,38.12000274658203,0.0,0,0,-0.0,False
5,28,2002-10-03,CBOT Soybean Oil,BO,grain,Long,37.97000244140625,2,132.0,11,5.98,1,2002-10-03,37.860008239746094,2.0,-132.0,-11.0,0.0,stop,2002-10-03,-132.0,-11,0.0,LOSE,37.860008239746094,37.860008239746094,0.0,0,0,-0.0,False
6,29,2002-10-04,CBOT Soybean Oil,BO,grain,Long,38.05000213623047,2,228.0,19,5.98,1,2002-10-09,37.860008239746094,2.0,-228.0,-19.0,5.0,stop,2002-10-09,-228.0,-19,5.0,LOSE,37.860008239746094,37.860008239746094,0.0,0,0,-0.0,False
7,30,2002-10-10,CBOT Soybean Oil,BO,grain,Long,37.780004272460936,2,180.0,15,5.98,1,2002-10-10,37.6300048828125,2.0,-180.0,-15.0,0.0,stop,2002-10-10,-180.0,-15,0.0,LOSE,37.6300048828125,37.6300048828125,0.0,0,0,-0.0,False
8,31,2002-10-11,CBOT Soybean Oil,BO,grain,Long,37.89000518798828,2,312.0,26,5.98,1,2002-12-18,39.900001525878906,2.0,2412.0,201.0,68.0,stop,2002-12-18,2412.0,201,68.0,WIN,39.900001525878906,39.900001525878906,0.0,0,0,0.0,False
9,52,2002-12-19,CBOT Soybean Oil,BO,grain,Long,40.24000335693359,2,612.0,51,5.98,1,2002-12-30,39.730003356933594,2.0,-612.0,-51.0,11.0,stop,2002-12-30,-612.0,-51,11.0,LOSE,39.730003356933594,39.730003356933594,0.0,0,0,-0.0,False
10,53,2002-12-31,CBOT Soybean Oil,BO,grain,Long,39.72000366210938,2,408.0,34,5.98,1,2002-12-31,39.3800048828125,2.0,-408.0,-34.0,0.0,stop,2002-12-31,-408.0,-34,0.0,LOSE,39.3800048828125,39.3800048828125,0.0,0,0,-0.0,False
11,54,2003-01-02,CBOT Soybean Oil,BO,grain,Long,39.79000549316406,2,492.0,41,5.98,1,2003-01-07,39.3800048828125,2.0,-492.0,-41.0,5.0,stop,2003-01-07,-492.0,-41,5.0,LOSE,39.3800048828125,39.3800048828125,0.0,0,0,-0.0,False
12,55,2003-01-08,CBOT Soybean Oil,BO,grain,Long,39.74000030517578,2,660.0,55,5.98,1,2003-01-10,39.19000244140625,2.0,-660.0,-55.0,2.0,stop,2003-01-10,-660.0,-55,2.0,LOSE,39.19000244140625,39.19000244140625,0.0,0,0,-0.0,False
13,56,2003-01-13,CBOT Soybean Oil,BO,grain,Long,39.1700048828125,2,252.0,21,5.98,1,2003-01-13,38.959999084472656,2.0,-252.0,-21.0,0.0,stop,2003-01-13,-252.0,-21,0.0,LOSE,38.959999084472656,38.959999084472656,0.0,0,0,-0.0,False
14,57,2003-01-14,CBOT Soybean Oil,BO,grain,Long,39.220001220703125,2,540.0,45,5.98,1,2003-01-14,38.77000427246094,2.0,-540.0,-45.0,0.0,stop,2003-01-14,-540.0,-45,0.0,LOSE,38.77000427246094,38.77000427246094,0.0,0,0,-0.0,False
15,58,2003-01-15,CBOT Soybean Oil,BO,grain,Long,38.6900048828125,2,216.0,18,5.98,1,2003-01-15,38.51000213623047,2.0,-216.0,-18.0,0.0,stop,2003-01-15,-216.0,-18,0.0,LOSE,38.51000213623047,38.51000213623047,0.0,0,0,-0.0,False
16,59,2003-01-16,CBOT Soybean Oil,BO,grain,Long,38.60000183105469,2,300.0,25,5.98,1,2003-01-16,38.350006103515625,2.0,-300.0,-25.0,0.0,stop,2003-01-16,-300.0,-25,0.0,LOSE,38.350006103515625,38.350006103515625,0.0,0,0,-0.0,False
17,60,2003-01-17,CBOT Soybean Oil,BO,grain,Long,38.72000152587891,2,444.0,37,5.98,1,2003-02-12,38.350006103515625,2.0,-444.0,-37.0,26.0,stop,2003-02-12,-444.0,-37,26.0,LOSE,38.350006103515625,38.350006103515625,0.0,0,0,-0.0,False
18,62,2003-02-13,CBOT Soybean Oil,BO,grain,Long,38.320001220703126,2,156.0,13,5.98,1,2003-02-25,38.71000335693359,2.0,468.0,39.0,12.0,exit,2003-02-25,468.0,39,12.0,WIN,38.71000335693359,38.19000244140625,-0.0,-52,0,0.0,False
19,68,2003-03-21,CBOT Soybean Oil,BO,grain,Long,39.92000183105469,2,2076.0,173,5.98,1,2003-06-26,39.77000427246094,2.0,-180.0,-15.0,97.0,stop,2003-06-26,-180.0,-15,97.0,LOSE,39.77000427246094,39.77000427246094,0.0,0,0,-0.0,False
20,78,2003-06-27,CBOT Soybean Oil,BO,grain,Long,39.830003051757814,2,336.0,28,5.98,1,2003-07-07,39.55000305175781,2.0,-336.0,-28.0,10.0,stop,2003-07-07,-336.0,-28,10.0,LOSE,39.55000305175781,39.55000305175781,0.0,0,0,-0.0,False
21,81,2003-07-08,CBOT Soybean Oil,BO,grain,Long,39.62000183105469,2,192.0,16,5.98,1,2003-07-09,39.46000671386719,2.0,-192.0,-16.0,1.0,stop,2003-07-09,-192.0,-16,1.0,LOSE,39.46000671386719,39.46000671386719,0.0,0,0,-0.0,False
22,83,2003-07-10,CBOT Soybean Oil,BO,grain,Long,39.46000457763672,2,324.0,27,5.98,1,2003-07-10,39.19000244140625,2.0,-324.0,-27.0,0.0,stop,2003-07-10,-324.0,-27,0.0,LOSE,39.19000244140625,39.19000244140625,0.0,0,0,-0.0,False
23,84,2003-07-11,CBOT Soybean Oil,BO,grain,Long,39.26000762939453,2,264.0,22,5.98,1,2003-07-11,39.040000915527344,2.0,-264.0,-22.0,0.0,stop,2003-07-11,-264.0,-22,0.0,LOSE,39.040000915527344,39.040000915527344,0.0,0,0,-0.0,False
24,86,2003-07-14,CBOT Soybean Oil,BO,grain,Long,39.05000762939453,2,180.0,15,5.98,1,2003-07-14,38.900001525878906,2.0,-180.0,-15.0,0.0,stop,2003-07-14,-180.0,-15,0.0,LOSE,38.900001525878906,38.900001525878906,0.0,0,0,-0.0,False
25,88,2003-07-15,CBOT Soybean Oil,BO,grain,Long,38.81000762939453,2,72.0,6,5.98,1,2003-07-15,38.75000762939453,2.0,-72.0,-6.0,0.0,stop,2003-07-15,-72.0,-6,0.0,LOSE,38.75000762939453,38.75000762939453,0.0,0,0,-0.0,False
26,90,2003-07-16,CBOT Soybean Oil,BO,grain,Long,38.78000122070313,2,84.0,7,5.98,1,2003-07-16,38.71000671386719,2.0,-84.0,-7.0,0.0,stop,2003-07-16,-84.0,-7,0.0,LOSE,38.71000671386719,38.71000671386719,0.0,0,0,-0.0,False
27,92,2003-07-17,CBOT Soybean Oil,BO,grain,Long,38.82000518798828,2,444.0,37,5.98,1,2003-07-17,38.45000457763672,2.0,-444.0,-37.0,0.0,stop,2003-07-17,-444.0,-37,0.0,LOSE,38.45000457763672,38.45000457763672,0.0,0,0,-0.0,False
28,106,2003-09-19,CBOT Soybean Oil,BO,grain,Long,41.87000732421875,2,5040.0,420,5.98,0,,,,,,,,,0.0,0,,,46.77000427246094,44.660003662109375,-2532.0,-211,2,5880.0,True
